Delta Test,T,Method,Repeat,Estimated_R_delta,True_R_delta,MSE
0.1,5000,DRO-IPW,18,0.43275776279113504,0.4053099105768362,0.0007533845911779903
0.1,5000,LDR2PE-CP,19,0.4268589072821555,0.4053099105768362,0.0004643592590058616
0.1,5000,DRO-IPW,19,0.4853153928880216,0.4053099105768362,0.006400877199845404
0.2,500,LDR2PE-CP,0,0.18383274344713596,0.23425445571869868,0.002542349068396259
0.2,500,DRO-IPW,0,0.17675997500542504,0.23425445571869868,0.0033056153124889956
0.2,500,LDR2PE-CP,1,0.3391108271663335,0.23425445571869868,0.010994858633164368
0.2,500,DRO-IPW,1,0.32206875568738136,0.23425445571869868,0.007711351278989782
0.2,500,LDR2PE-CP,2,0.334107044553401,0.23425445571869868,0.00997053949699212
0.2,500,DRO-IPW,2,0.3018155512552976,0.23425445571869868,0.004564501630105443
0.2,500,LDR2PE-CP,3,0.23727834938107462,0.23425445571869868,9.143932881357324e-06
0.2,500,DRO-IPW,3,0.2485515242977409,0.23425445571869868,0.00020440616995383653
0.2,500,LDR2PE-CP,4,0.40796511335386026,0.23425445571869868,0.030175392576040322
0.2,500,DRO-IPW,4,0.368625345654632,0.23425445571869868,0.018055536062174707
0.2,500,LDR2PE-CP,5,0.13973917382144505,0.23425445571869868,0.008933138512117321
0.2,500,DRO-IPW,5,0.16498175001252885,0.23425445571869868,0.004798707755853615
0.2,500,LDR2PE-CP,6,0.4023041918821739,0.23425445571869868,0.02824071382461364
0.2,500,DRO-IPW,6,0.40165057495690687,0.23425445571869868,0.028021460736012412
0.2,500,LDR2PE-CP,7,0.14797820444336396,0.23425445571869868,0.007443591534124697
0.2,500,DRO-IPW,7,0.1906868793294808,0.23425445571869868,0.001898133712430335
0.2,500,LDR2PE-CP,8,0.3391149102813494,0.23425445571869868,0.010995714931085731
0.2,500,DRO-IPW,8,0.2682148116655835,0.23425445571869868,0.001153305776039113
0.2,500,LDR2PE-CP,9,0.3808978206591014,0.23425445571869868,0.021504276481044127
0.2,500,DRO-IPW,9,0.3693623189961076,0.23425445571869868,0.018254134719387024
0.2,500,LDR2PE-CP,10,0.3620956456963488,0.23425445571869868,0.01634336985490162
0.2,500,DRO-IPW,10,0.36156374333940877,0.23425445571869868,0.016207654714492686
0.2,500,LDR2PE-CP,11,0.25935322633750635,0.23425445571869868,0.0006299482865755228
0.2,500,DRO-IPW,11,0.2818495460963993,0.23425445571869868,0.002265292628061488
0.2,500,LDR2PE-CP,12,0.15176591674684753,0.23425445571869868,0.0068043590617106065
0.2,500,DRO-IPW,12,0.22787930740898943,0.23425445571869868,4.0642515970788774e-05
0.2,500,LDR2PE-CP,13,0.3419429490745192,0.23425445571869868,0.011596811601246603
0.2,500,DRO-IPW,13,0.2891659931906785,0.23425445571869868,0.0030152769475366415
0.2,500,LDR2PE-CP,14,0.2420233957644486,0.23425445571869868,6.035642943445655e-05
0.2,500,DRO-IPW,14,0.20651795563550207,0.23425445571869868,0.0007693134368651658
0.2,500,LDR2PE-CP,15,0.20135311740329204,0.23425445571869868,0.0010824980629448456
0.2,500,DRO-IPW,15,0.1793345981484632,0.23425445571869868,0.003016190755534952
0.2,500,LDR2PE-CP,16,0.32255539156472535,0.23425445571869868,0.0077970552712841165
0.2,500,DRO-IPW,16,0.2924482575067797,0.23425445571869868,0.0033865185665504635
0.2,500,LDR2PE-CP,17,0.2007912118822333,0.23425445571869868,0.0011197886880587378
0.2,500,DRO-IPW,17,0.23854634795223867,0.23425445571869868,1.8420338944320835e-05
0.2,500,LDR2PE-CP,18,0.22457921146047566,0.23425445571869868,9.361035145627763e-05
0.2,500,DRO-IPW,18,0.2472024107521632,0.23425445571869868,0.0001676495395486192
